Group,Elevation,Mean flow rate (m/s),Mean temperature,Taxa,Kingdom,Phylum,Subphylum or Order,How the organism feeds,Pack 1,Pack 2,Pack 3,Pack 4,Pack 5,Pack 6
Rosie,1610,0.234344486,10.632,Stoneflies (Order Plecoptera),Animalia,Arthropoda,Hexapoda,Mostly Predators,15,0,4,3,NA,2
Rosie,1610,0.234344486,10.632,Dragonflies and Damselflies (Order Odonata),,,,Mostly Predators,0,0,4,3,NA,2
Rosie,1610,0.234344486,10.632,Mayflies (Order Ephemeroptera),,,,Mostly herbivores,2,0,6,1,NA,0
Rosie,1610,0.234344486,10.632,Water Beetles (Order Coleoptera),,,,,0,0,0,0,NA,0
Rosie,1610,0.234344486,10.632,True Flies (Order Diptera),,,,,0,0,1,1,NA,0
Rosie,1610,0.234344486,10.632,Isopod,,,,,1,0,0,0,NA,0
Rosie,1610,0.234344486,10.632,Hymenoptera,,,,,1,0,0,0,NA,2
Rosie,1610,0.234344486,10.632,"Crane Flies(Order Diptera, Family Tipulidae)",,,,,0,0,0,0,NA,0
Rosie,1610,0.234344486,10.632,Dobsonflies and Alderflies (Order Megaloptera),,,,,0,0,0,1,NA,0
Rosie,1610,0.234344486,10.632,Caddisflies (Order Tricoptera),,,,,0,0,0,1,NA,0
Rosie,1610,0.234344486,10.632,"Net-spinner Caddisflies (Order Tricoptera, Family Hydropsychidae)",,,,,0,0,0,0,NA,0
Rosie,1610,0.234344486,10.632,Water mites (Order Acari),,,,,0,0,0,0,NA,0
Rosie,1610,0.234344486,10.632,Scuds (Order Amphipoda),,,,,3,0,1,0,NA,0
Rosie,1610,0.234344486,10.632,Sowbugs (Order Isopoda),,,,,0,0,0,0,NA,0
Rosie,1610,0.234344486,10.632,Crayfish (Order Decapoda),,,,,0,0,1,0,NA,0
Rosie,1610,0.234344486,10.632,Snails (Class Gastropoda),,,,,0,0,0,0,NA,0
Rosie,1610,0.234344486,10.632,Clams and Mussels (Class Bivalvia),,,,,0,0,0,0,NA,0
Rosie,1610,0.234344486,10.632,Leeches (Subclass Hirudinea),,,,,0,0,0,0,NA,0
Rosie,1610,0.234344486,10.632,Aquatic Earthworms (Subclass Oligochaeta),,,,,0,0,0,0,NA,0
Rosie,1610,0.234344486,10.632,Planaria (Class Turbellaria),,,,,0,0,0,0,NA,0
Cal,1740,0.124167046,11.358,Stoneflies (Order Plecoptera),Animalia,Arthropoda,Hexapoda,Mostly Predators,1,0,0,0,5,6
Cal,1740,0.124167046,11.358,Dragonflies and Damselflies (Order Odonata),,,,,0,0,0,1,0,2
Cal,1740,0.124167046,11.358,Mayflies (Order Ephemeroptera),,,,,0,0,3,1,0,1
Cal,1740,0.124167046,11.358,Water Beetles (Order Coleoptera),,,,,0,0,0,0,0,0
Cal,1740,0.124167046,11.358,True Flies (Order Diptera),,,,,3,2,0,1,2,17
